T A T A C O N S U M ; 1 , 1 0 3 . 9 0
J S W S T E E L ; 8 2 7 . 0 0
B P C L ; 6 0 0 . 9 0
W I P R O ; 4 7 6 . 7 0
A D A N I P O R T S ; 1 , 3 3 4 . 0 0
H E R O M O T O C O ; 4 , 6 0 4 . 0 0
P O W E R G R I D ; 2 7 2 . 0 0
S B I N ; 7 3 7 . 7 5
H I N D A L C O ; 5 6 1 . 0 0
C I P L A ; 1 , 4 7 2 . 0 0
U L T R A C E M C O ; 9 , 6 8 0 . 0 0
D R R E D D Y ; 6 , 0 7 8 . 0 0
T E C H M ; 1 , 2 6 0 . 0 0
M A R U T I ; 1 2 , 5 6 9 . 9 5
B R I T A N N I A ; 4 , 9 4 2 . 3 0
T A T A M O T O R S ; 9 8 2 . 5 0
A D A N I E N T ; 3 , 1 3 4 . 0 0
S U N P H A R M A ; 1 , 6 0 9 . 9 5
B A J A J F I N S V ; 1 , 5 8 8 . 0 0
O N G C ; 2 6 2 . 4 5
T C S ; 3 , 8 5 0 . 1 0
H I N D U N I L V R ; 2 , 2 4 5 . 0 0
I N F Y ; 1 , 4 8 7 . 1 5
H C L T E C H ; 1 , 5 4 9 . 0 0
B H A R T I A R T L ; 1 , 2 2 6 . 9 5
L T I M ; 4 , 9 3 5 . 9 5
A S I A N P A I N T ; 2 , 8 3 5 . 0 5
B A J F I N A N C E ; 7 , 0 3 2 . 1 0
K O T A K B A N K ; 1 , 7 7 7 . 9 5
C O A L I N D I A ; 4 3 0 . 0 0
G R A S I M ; 2 , 2 1 0 . 0 0
I C I C I B A N K ; 1 , 0 8 5 . 0 0
N T P C ; 3 3 1 . 9 0
I N D U S I N D B K ; 1 , 5 3 4 . 7 5
E I C H E R M O T ; 3 , 9 1 5 . 3 0
S B I L I F E ; 1 , 4 8 0 . 0 0
N E S T L E I N D ; 2 , 5 6 7 . 0 5
T I T A N ; 3 , 7 6 0 . 0 0
L T ; 3 , 7 0 6 . 5 5
R E L I A N C E ; 2 , 9 8 5 . 7 5
T A T A S T E E L ; 1 5 2 . 7 0
M & M ; 1 , 8 8 1 . 1 5
B A J A J - A U T O ; 9 , 1 6 2 . 5 0
H D F C L I F E ; 6 2 6 . 3 5
A P O L L O H O S P ; 6 , 2 3 1 . 4 5
I T C ; 4 2 8 . 0 0
H D F C B A N K ; 1 , 4 4 0 . 7 0
A X I S B A N K ; 1 , 0 5 2 . 8 5
D I V I S L A B ; 3 , 3 6 7 . 0 5
S H R I R A M F I N ; 2 , 3 7 4 . 0 5
